Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3772,2_in_1_Combo_Pack:_Sonic_Heroes_/_Super_Monkey_Ball_Deluxe,XB,2004,Misc,Sega,0.4,0.11,0,0.02,0.53
3773,Mystery_Dungeon:_Shiren_the_Wanderer,DS,2006,Role-Playing,Sega,0.18,0,0.33,0.02,0.53
3774,SimAnimals,DS,2009,Simulation,Electronic_Arts,0.26,0.21,0,0.06,0.53
3775,MLB_SlugFest_20-04,PS2,2003,Sports,Midway_Games,0.26,0.2,0,0.07,0.53
3776,Gex_3:_Deep_Cover_Gecko,PS,1999,Platform,Eidos_Interactive,0.3,0.2,0,0.03,0.53
3777,NASCAR_09,PS2,2008,Racing,Electronic_Arts,0.26,0.2,0,0.07,0.53
3778,Blitz:_The_League,XB,2004,Sports,Midway_Games,0.4,0.11,0,0.02,0.53
3779,Jampack_Vol._2,PS,1996,Misc,Sony_Computer_Entertainment,0.3,0.2,0,0.03,0.53
3780,LEGO_Jurassic_World,WiiU,2015,Action,Warner_Bros._Interactive_Entertainment,0.28,0.19,0.02,0.04,0.53
3781,Sesame_Street:_Once_Upon_A_Monster,X360,2011,Misc,Warner_Bros._Interactive_Entertainment,0.39,0.1,0,0.04,0.53
3782,Virtual_Soccer,SNES,1993,Sports,Hudson_Soft,0,0,0.53,0,0.53
3783,Romance_of_the_Three_Kingdoms_IV:_Wall_of_Fire,SNES,1994,Strategy,Tecmo_Koei,0,0,0.53,0,0.53
3784,Winning_Post,SNES,1993,Sports,Tecmo_Koei,0,0,0.53,0,0.53
3785,Peter_Jackson's_King_Kong:_The_Official_Game_of_the_Movie,XB,2005,Action,Ubisoft,0.34,0.17,0,0.02,0.53
3786,SingStar_Dance,PS3,2010,Misc,Sony_Computer_Entertainment,0.09,0.32,0,0.12,0.53
3787,Kirby_and_the_Rainbow_Curse,WiiU,2015,Platform,Nintendo,0.23,0.14,0.12,0.04,0.53
3788,Burnout_Revenge,XB,2005,Racing,Electronic_Arts,0.32,0.19,0,0.01,0.53
3789,FIFA_12,PSP,2011,Sports,Electronic_Arts,0.12,0.26,0.02,0.14,0.53
3790,Medal_of_Honor:_European_Assault,XB,2005,Shooter,Electronic_Arts,0.32,0.19,0,0.02,0.53
3791,Batman:_Arkham_City,PC,2011,Action,Warner_Bros._Interactive_Entertainment,0.16,0.28,0,0.09,0.53
3792,Ty_the_Tasmanian_Tiger_2:_Bush_Rescue,PS2,2004,Platform,Electronic_Arts,0.26,0.2,0,0.07,0.53
3793,The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,XB,2002,Action,Universal_Interactive,0.31,0.19,0,0.03,0.53
3794,NBA_06,PS2,2005,Sports,Sony_Computer_Entertainment,0.26,0.2,0,0.07,0.53
3795,Sonic_&_All-Stars_Racing_Transformed,WiiU,2012,Racing,Sega,0.2,0.27,0.02,0.05,0.53
3796,Spider-Man,N64,2000,Action,Activision,0.43,0.09,0,0.01,0.53
3797,We_Cheer,Wii,2008,Simulation,505_Games,0.48,0,0,0.04,0.53
3798,Tom_Clancy's_Ghost_Recon_Advanced_Warfighter_2,PSP,2007,Shooter,Ubisoft,0.35,0.1,0,0.08,0.53
3799,X-Men_Legends,GC,2004,Role-Playing,Activision,0.41,0.11,0,0.01,0.53
3800,Alice_in_Wonderland,Wii,2010,Adventure,Disney_Interactive_Studios,0.27,0.21,0,0.05,0.53
3801,Littlest_Pet_Shop_3:_Biggest_Stars_-_Blue_/_Pink_/_Purple_Team,DS,2010,Simulation,Electronic_Arts,0.5,0,0,0.03,0.53
3802,Front_Mission_2,PS,1997,Strategy,SquareSoft,0,0,0.49,0.03,0.53
3803,Bulletstorm,PS3,2011,Shooter,Electronic_Arts,0.23,0.2,0.01,0.08,0.53
3804,F.E.A.R._2:_Project_Origin,X360,2009,Shooter,Warner_Bros._Interactive_Entertainment,0.32,0.15,0,0.05,0.53
3805,Tiger_Woods_PGA_Tour_11,X360,2010,Sports,Electronic_Arts,0.28,0.2,0,0.05,0.53
3806,Stuntman:_Ignition,PS3,2007,Racing,THQ,0.17,0.26,0,0.1,0.53
3807,Are_You_Smarter_Than_A_5th_Grader?,DS,2007,Misc,Mindscape,0.48,0,0,0.04,0.53
3808,F1_2009,PSP,2009,Racing,Codemasters,0.08,0.29,0,0.16,0.53
3809,Oni,PS2,2001,Action,Take-Two_Interactive,0.26,0.2,0,0.07,0.53
3810,The_Lord_of_the_Rings:_The_Two_Towers,GC,2002,Action,Electronic_Arts,0.41,0.11,0,0.01,0.53
3811,Juiced,PS2,2005,Racing,THQ,0.26,0.2,0,0.07,0.53
3812,The_Warriors,PS2,2005,Action,Take-Two_Interactive,0.44,0.02,0,0.07,0.53
3813,Batman:_Arkham_Origins_Blackgate,PSV,2013,Action,Warner_Bros._Interactive_Entertainment,0.2,0.2,0,0.13,0.53
3814,J-League_Soccer:_Prime_Goal_2,SNES,1994,Sports,Namco_Bandai_Games,0,0,0.53,0,0.53
3815,Go_Diego_Go!_Safari_Rescue,Wii,2008,Action,Take-Two_Interactive,0.48,0.01,0,0.04,0.53
3816,The_Walking_Dead:_Survival_Instinct,PS3,2013,Shooter,Activision,0.28,0.17,0,0.08,0.53
3817,Picross_3D,DS,2009,Puzzle,Nintendo,0.3,0.03,0.16,0.03,0.53
3818,Just_Dance_2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0,0.05,0.53
3819,Silent_Hill:_Origins,PSP,2007,Action,Konami_Digital_Entertainment,0.22,0.16,0.04,0.1,0.53
3820,NASCAR_2000,N64,1999,Racing,Electronic_Arts,0.49,0.03,0,0,0.53
3821,Wayne_Gretzky's_3D_Hockey,N64,1996,Sports,Nintendo,0.49,0.03,0,0,0.53
3822,Pachi-Slot_Aruze_Oukoku_4,PS,2000,Misc,Aruze_Corp,0,0,0.49,0.03,0.53
3823,Return_to_Castle_Wolfenstein:_Operation_Resurrection,PS2,2003,Shooter,Activision,0.26,0.2,0,0.07,0.53
3824,Mario_Tennis:_Power_Tour,GBA,2005,Sports,Nintendo,0.24,0.09,0.19,0.01,0.52
3825,Seaman,DC,1999,Simulation,Sega,0,0,0.52,0,0.52
3826,Guinness_World_Records:_The_Videogame,DS,2008,Action,Warner_Bros._Interactive_Entertainment,0.47,0.01,0,0.04,0.52
3827,The_Grinch,PS,1999,Adventure,Konami_Digital_Entertainment,0.29,0.2,0,0.03,0.52
3828,GT_Pro_Series,Wii,2006,Racing,Ubisoft,0.46,0.01,0.02,0.04,0.52
3829,Tales_of_Destiny,PS2,2006,Role-Playing,Namco_Bandai_Games,0,0,0.52,0,0.52
3830,Spectrobes:_Beyond_the_Portals,DS,2008,Role-Playing,Disney_Interactive_Studios,0.37,0.11,0,0.04,0.52
3831,Classic_Word_Games,DS,2009,Misc,Ubisoft,0.09,0.37,0,0.07,0.52
3832,Naruto_Shippuden:_Clash_of_Ninja_Revolution_3,Wii,2009,Fighting,Nintendo,0.45,0.04,0,0.04,0.52
3833,Fight_Night_Round_3,PSP,2006,Fighting,Electronic_Arts,0.46,0.02,0,0.05,0.52
3834,The_Golden_Compass,PS2,2007,Action,Sega,0.13,0,0,0.39,0.52
3835,Final_Fantasy_Chronicles,PS,2001,Role-Playing,Square,0.29,0.2,0,0.03,0.52
3836,NBA_Live_08,X360,2007,Sports,Electronic_Arts,0.47,0,0,0.04,0.52
3837,Syphon_Filter_3,PS,2001,Shooter,Sony_Computer_Entertainment,0.29,0.2,0,0.03,0.52
3838,Star_Wars_Battlefront:_Elite_Squadron,DS,2009,Shooter,LucasArts,0.44,0.04,0,0.04,0.52
3839,Metal_Gear_Solid_2:_Substance,PS2,2002,Action,Konami_Digital_Entertainment,0.18,0.14,0.16,0.05,0.52
3840,We_Love_Katamari,PS2,2005,Puzzle,Electronic_Arts,0.26,0.2,0,0.07,0.52
3841,NCAA_Football_2003,XB,2002,Sports,Electronic_Arts,0.39,0.11,0,0.02,0.52
3842,Way_of_the_Samurai_3,PS3,2008,Action,Gamebridge,0.18,0.08,0.22,0.04,0.52
3843,NBA_Live_09,PS3,2008,Sports,Electronic_Arts,0.46,0,0.02,0.04,0.52
3844,DC_Universe_Online,PS3,2011,Role-Playing,Sony_Online_Entertainment,0.35,0.12,0,0.06,0.52
3845,Ready_2_Rumble_Boxing:_Round_2,PS,2000,Fighting,Midway_Games,0.29,0.2,0,0.03,0.52
3846,Mega_Man_6,NES,1993,Platform,Capcom,0.28,0.07,0.16,0.01,0.52
3847,Mission:_Impossible,PS,1999,Action,Infogrames,0.29,0.2,0,0.03,0.52
3848,Final_Fantasy_Explorers,3DS,2014,Role-Playing,Square_Enix,0.15,0.07,0.28,0.02,0.52
3849,Rival_Schools:_United_By_Fate,PS,1998,Fighting,Capcom,0.12,0.08,0.28,0.03,0.52
3850,Bully:_Scholarship_Edition,Wii,2008,Action,Take-Two_Interactive,0.17,0.29,0,0.06,0.52
3851,IL-2_Sturmovik:_Birds_of_Prey,X360,2009,Simulation,505_Games,0.23,0.24,0,0.05,0.52
3852,PlayStation_All-Stars_Battle_Royale,PSV,2012,Action,Sony_Computer_Entertainment,0.26,0.15,0.01,0.1,0.52
3853,Ratatouille,PS3,2007,Action,THQ,0.09,0.32,0,0.11,0.52
3854,Cars_Toon:_Mater's_Tall_Tales,Wii,2010,Misc,Disney_Interactive_Studios,0.46,0.02,0,0.03,0.52
3855,Kung_Fu_Panda,PS3,2008,Action,Activision,0.21,0.21,0,0.09,0.52
3856,Swing_Away_Golf,PS2,2000,Sports,Electronic_Arts,0.17,0.13,0.18,0.04,0.52
3857,J-League_Pro_Soccer_Club_o_Tsukurou!_3,PS2,2003,Sports,Sega,0,0,0.52,0,0.52
3858,Tomb_Raider:_Legend,PS2,2006,Action,Eidos_Interactive,0.25,0.19,0.02,0.06,0.52
3859,Ratatouille,Wii,2007,Action,THQ,0.44,0.04,0,0.04,0.52
3860,Freedom_Fighters,PS2,2003,Shooter,Electronic_Arts,0.25,0.2,0,0.07,0.52
3861,Gun,XB,2005,Shooter,Activision,0.38,0.12,0,0.02,0.52
3862,That's_So_Raven_2:_Supernatural_Style,GBA,2005,Adventure,Disney_Interactive_Studios,0.37,0.14,0,0.01,0.52
3863,Lair,PS3,2007,Action,Sony_Computer_Entertainment,0.36,0.04,0.08,0.04,0.52
3864,Madden_NFL_07,PS3,2006,Sports,Electronic_Arts,0.47,0,0.01,0.04,0.52
3865,The_Punisher,PS2,2005,Action,THQ,0.25,0.2,0,0.07,0.52
3866,Front_Mission_3,PS,1999,Strategy,SquareSoft,0.1,0.07,0.31,0.03,0.52
3867,Kenkou_Ouen_Recipe_1000:_DS_Kondate_Zenshuu,DS,2006,Misc,Nintendo,0,0,0.52,0,0.52
3868,SSX_On_Tour,PS2,2005,Sports,Electronic_Arts,0.25,0.2,0,0.07,0.52
3869,Tony_Hawk's_Pro_Skater_3,GBA,2002,Sports,Activision,0.37,0.14,0,0.01,0.52
3870,Harry_Potter_and_the_Prisoner_of_Azkaban,GBA,2004,Action,Electronic_Arts,0.37,0.14,0,0.01,0.52
3871,Petz:_Hamsterz_Life_2,DS,2007,Misc,Ubisoft,0.48,0,0,0.04,0.52
3872,Omega_Boost,PS,1999,Shooter,Sony_Computer_Entertainment,0.17,0.11,0.2,0.03,0.52
3873,The_Sims_2:_Open_for_Business,PC,2006,Simulation,Electronic_Arts,0.46,0.05,0,0,0.52
3874,Iron_Man,DS,2008,Action,Sega,0.35,0.12,0,0.05,0.52
3875,NFL_2K3,XB,2002,Sports,Sega,0.38,0.11,0,0.02,0.52
3876,NBA_Live_2002,PS,2001,Sports,Electronic_Arts,0.29,0.19,0,0.03,0.52
3877,Jampack_Winter_2002,PS2,2002,Misc,Sony_Computer_Entertainment,0.25,0.2,0,0.07,0.52
3878,My_Word_Coach,Wii,2007,Misc,Ubisoft,0.46,0.02,0,0.04,0.51
3879,Way_of_the_Samurai,PS2,2002,Action,Eidos_Interactive,0.13,0.1,0.25,0.03,0.51
3880,Dragon_Age:_Origins,PC,2009,Role-Playing,Electronic_Arts,0,0.46,0,0.06,0.51
3881,Naruto_Shippuden:_Ultimate_Ninja_Storm_3,X360,2013,Fighting,Namco_Bandai_Games,0.29,0.17,0.01,0.04,0.51
3882,Fishing_Derby,2600,N/A,Sports,Activision,0.48,0.03,0,0.01,0.51
3883,Pac-Man_Fever,PS2,2001,Misc,Sony_Computer_Entertainment,0.25,0.2,0,0.07,0.51
3884,The_LEGO_Movie_Videogame,XOne,2014,Action,Warner_Bros._Interactive_Entertainment,0.34,0.13,0,0.04,0.51
3885,The_3rd_Birthday,PSP,2010,Role-Playing,Square_Enix,0.13,0.07,0.27,0.05,0.51
3886,Prince_of_Persia_Trilogy,PS3,2010,Action,Ubisoft,0.17,0.25,0,0.09,0.51
3887,International_Track_&_Field,PS,1996,Sports,Konami_Digital_Entertainment,0.08,0.05,0.35,0.03,0.51
3888,100_All-Time_Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51
3889,HSX_HyperSonic.Xtreme,PS2,2002,Racing,Midas_Interactive_Entertainment,0.25,0.2,0,0.07,0.51
3890,StarCraft_II:_Legacy_of_the_Void,PC,2015,Strategy,Activision,0.18,0.29,0,0.04,0.51
3891,Tiger_Woods_PGA_Tour_13,X360,2012,Sports,Electronic_Arts,0.29,0.18,0,0.04,0.51
3892,SoulCalibur:_Broken_Destiny,PSP,2009,Fighting,Namco_Bandai_Games,0.12,0.2,0.07,0.12,0.51
3893,The_Saboteur,X360,2009,Action,Electronic_Arts,0.26,0.21,0,0.05,0.51
3894,Lords_of_the_Fallen,PS4,2014,Role-Playing,Square_Enix,0.17,0.23,0.02,0.09,0.51
3895,Pro_Evolution_Soccer_2010,Wii,2009,Sports,Konami_Digital_Entertainment,0.12,0.27,0.06,0.05,0.51
3896,Goldeneye_007:_Reloaded,X360,2011,Shooter,Activision,0.25,0.21,0,0.05,0.51
3897,Jam_With_the_Band,DS,2008,Misc,Nintendo,0,0,0.51,0,0.51
3898,Madden_NFL_2004,GC,2003,Sports,Electronic_Arts,0.4,0.1,0,0.01,0.51
3899,Jikkyou_Powerful_Pro_Yakyuu_10,PS2,2003,Sports,Konami_Digital_Entertainment,0,0,0.51,0,0.51
3900,Summoner,PS2,2000,Role-Playing,THQ,0.25,0.2,0,0.07,0.51
3901,Virtual_Pool,PS,1997,Sports,Interplay,0.28,0.19,0,0.03,0.51
3902,NBA_Live_07,PSP,2006,Sports,Electronic_Arts,0.47,0,0,0.04,0.51
3903,Sega_Bass_Fishing,Wii,2008,Sports,Sega,0.46,0.01,0,0.04,0.51
3904,Fire_Emblem:_Radiant_Dawn,Wii,2007,Strategy,Nintendo,0.28,0.03,0.17,0.03,0.51
3905,Dynasty_Warriors,PSP,2004,Action,Tecmo_Koei,0.18,0.01,0.3,0.02,0.51
3906,"SpongeBob_SquarePants:_Lights,_Camera,_Pants!",GBA,2005,Misc,THQ,0.37,0.14,0,0.01,0.51
3907,Dragon_Ball:_Raging_Blast,X360,2009,Fighting,Namco_Bandai_Games,0.36,0.09,0.02,0.04,0.51
3908,Rugrats:_Scavenger_Hunt,N64,1999,Misc,THQ,0.41,0.09,0,0.01,0.51
3909,Wrecking_Crew,NES,1985,Platform,Nintendo,0,0,0.51,0,0.51
3910,International_Superstar_Soccer_2000_(All_region_sales),N64,1999,Sports,Konami_Digital_Entertainment,0.01,0.26,0.22,0.02,0.51
3911,Major_League_Baseball_2K10,X360,2010,Sports,Take-Two_Interactive,0.47,0,0,0.04,0.51
3912,Monsters_vs._Aliens,DS,2009,Action,Activision,0.33,0.13,0,0.05,0.51
3913,"Transformers:_War_for_Cybertron_(XBox_360,_PS3,_&_PC_Versions)",PS3,2010,Shooter,Activision,0.24,0.19,0,0.08,0.51
3914,SpongeBob_SquarePants:_Creature_from_the_Krusty_Krab,Wii,2006,Platform,THQ,0.45,0.02,0,0.04,0.51
3915,Lost:_Via_Domus,PS3,2008,Action,Ubisoft,0.19,0.23,0,0.09,0.51
3916,NBA_Live_2004,XB,2003,Sports,Electronic_Arts,0.44,0.04,0,0.02,0.51
3917,Dai-4-Ji_Super_Robot_Taisen_S,PS,1996,Strategy,Banpresto,0,0,0.48,0.03,0.51
3918,Disney's_Kim_Possible:_Revenge_of_Monkey_Fist,GBA,2002,Platform,THQ,0.37,0.14,0,0.01,0.51
3919,WWE_SmackDown_vs._RAW_2007,X360,2006,Fighting,THQ,0.44,0.03,0,0.04,0.51
3920,Ace_Combat_Zero:_The_Belkan_War,PS2,2006,Simulation,Namco_Bandai_Games,0.15,0.12,0.2,0.04,0.51
3921,R.U.S.E.,PS3,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.09,0.51
3922,Disgaea_3:_Absence_of_Justice,PS3,2008,Role-Playing,Square_Enix,0.32,0.04,0.11,0.04,0.51
3923,Test_Drive_Unlimited,PSP,2007,Racing,Atari,0.08,0.28,0,0.15,0.51
3924,LEGO_Dimensions,WiiU,2015,Action,Warner_Bros._Interactive_Entertainment,0.3,0.16,0,0.05,0.51
3925,Picross_DS,DS,2007,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.51
3926,Final_Fantasy_II_Anniversary_Edition,PSP,2007,Role-Playing,Square_Enix,0.36,0.03,0.07,0.04,0.51
3927,NHL_07,PS2,2006,Sports,Electronic_Arts,0.42,0.02,0,0.07,0.51
3928,Harry_Potter_and_the_Half-Blood_Prince,PSP,2009,Action,Electronic_Arts,0.18,0.21,0,0.12,0.51
3929,Quantum_Break,XOne,2016,Action,Microsoft_Game_Studios,0.27,0.19,0.01,0.04,0.51
3930,NBA_2K11,Wii,2010,Action,Take-Two_Interactive,0.47,0.01,0,0.03,0.51
3931,World_Championship_Poker,XB,2004,Misc,Crave_Entertainment,0.37,0.11,0,0.02,0.51
3932,The_BIGS,PS2,2007,Sports,Take-Two_Interactive,0.25,0.19,0,0.06,0.51
3933,Final_Fantasy,WS,2000,Role-Playing,SquareSoft,0,0,0.51,0,0.51
3934,Burnout_Revenge,X360,2006,Racing,Electronic_Arts,0.42,0.05,0,0.04,0.51
3935,Rory_McIlroy_PGA_Tour,PS4,2015,Action,Electronic_Arts,0.18,0.24,0,0.08,0.51
3936,Euro_Truck_Simulator,PC,2008,Simulation,Rondomedia,0,0.42,0,0.09,0.51
3937,Dragon_Ball_Z:_Supersonic_Warriors,GBA,2004,Fighting,Atari,0.36,0.13,0,0.01,0.51
3938,Dishonored,PC,2012,Action,Bethesda_Softworks,0.26,0.19,0,0.06,0.51
3939,Paws_&_Claws:_Dogs_&_Cats_Best_Friends,DS,2007,Simulation,THQ,0.46,0.01,0,0.04,0.51
3940,NBA_Ballers,XB,2004,Sports,Midway_Games,0.37,0.11,0,0.02,0.51
3941,Silent_Hill_4:_The_Room,PS2,2004,Action,Konami_Digital_Entertainment,0.25,0.19,0,0.06,0.51
3942,River_Raid_II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51
3943,Capcom_Classics_Collection,PS2,2005,Misc,Capcom,0.22,0.17,0.05,0.06,0.51
3944,Guitar_Hero_Live,XOne,2015,Misc,Activision,0.29,0.17,0,0.05,0.51
3945,Wolfenstein:_The_New_Order,PS3,2014,Shooter,Bethesda_Softworks,0.14,0.25,0.02,0.09,0.51
3946,Monopoly_Party,PS2,2002,Misc,Infogrames,0.25,0.19,0,0.06,0.51
3947,Hidden_Mysteries:_Titanic_-_Secrets_of_the_Fateful_Voyage,DS,2009,Adventure,GSP,0.12,0.33,0,0.06,0.51
3948,NHL_FaceOff_98,PS,1997,Sports,Sony_Computer_Entertainment,0.28,0.19,0,0.03,0.51
3949,The_Adventures_of_Jimmy_Neutron_Boy_Genius:_Attack_of_the_Twonkies,GBA,2004,Action,THQ,0.36,0.13,0,0.01,0.5
3950,F1_2012,X360,2012,Racing,Codemasters,0.1,0.35,0,0.06,0.5
3951,NHL_09,X360,2008,Sports,Electronic_Arts,0.45,0.01,0,0.04,0.5
3952,Sonic_Riders,PS2,2006,Racing,Sega,0.42,0.02,0,0.07,0.5
3953,Looney_Tunes:_Back_in_Action,PS2,2003,Platform,Warner_Bros._Interactive_Entertainment,0.25,0.19,0,0.06,0.5
3954,Wet,X360,N/A,Shooter,Bethesda_Softworks,0.23,0.21,0.01,0.05,0.5
3955,Midnight_Magic,2600,1983,Action,Atari,0.47,0.03,0,0.01,0.5
3956,Alice:_Madness_Returns,X360,2011,Adventure,Electronic_Arts,0.27,0.15,0.04,0.04,0.5
3957,Pro_Evolution_Soccer_2012,X360,2011,Action,Konami_Digital_Entertainment,0.1,0.34,0,0.07,0.5
3958,Tiger_Woods_PGA_Tour_07,PS3,2006,Sports,Electronic_Arts,0.31,0.12,0,0.07,0.5
3959,Midnight_Club_II,XB,2003,Racing,Take-Two_Interactive,0.42,0.06,0,0.02,0.5
3960,Atelier_Rorona:_Alchemist_of_Arland,PS3,2009,Role-Playing,Nippon_Ichi_Software,0.22,0.12,0.11,0.05,0.5
3961,Monster_Hunter_Freedom_2,PS3,2011,Role-Playing,Capcom,0,0,0.5,0,0.5
3962,Dragon_Ball_Z:_Supersonic_Warriors_2,DS,2005,Fighting,Atari,0.14,0.02,0.32,0.02,0.5
3963,Avatar:_The_Last_Airbender,GC,2006,Adventure,THQ,0.39,0.1,0,0.01,0.5
3964,Blue's_Clues:_Blue's_Big_Musical,PS,2001,Misc,THQ,0.28,0.19,0,0.03,0.5
3965,The_Mummy_Returns,PS2,2001,Action,Universal_Interactive,0.25,0.19,0,0.06,0.5
3966,Hitman:_Blood_Money,PS2,2006,Action,Eidos_Interactive,0.25,0.19,0,0.06,0.5
3967,Disney_Sing_It,PS2,2008,Misc,Disney_Interactive_Studios,0.25,0.19,0,0.06,0.5
3968,Chopper_Command,2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5
3969,Activision_Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5
3970,Crash:_Mind_Over_Mutant,PS2,2008,Platform,Vivendi_Games,0.25,0.19,0,0.06,0.5
3971,WWE_2K16,X360,2015,Sports,Take-Two_Interactive,0.27,0.19,0,0.04,0.5
3972,LEGO_The_Hobbit,X360,2014,Action,Warner_Bros._Interactive_Entertainment,0.2,0.26,0,0.04,0.5
3973,Babysitting_Mama,Wii,2010,Simulation,505_Games,0.34,0.12,0,0.04,0.5
3974,Boogie,Wii,2007,Misc,Electronic_Arts,0.43,0.03,0,0.04,0.5
3975,Theatrhythm:_Final_Fantasy,3DS,2012,Misc,Square_Enix,0.22,0.07,0.18,0.02,0.5
3976,Bleach:_Soul_Resurreccion,PS3,2011,Fighting,Nippon_Ichi_Software,0.27,0.11,0.07,0.05,0.5
3977,Madden_NFL_07,Wii,2006,Sports,Electronic_Arts,0.46,0,0,0.04,0.5
3978,Rugrats_in_Paris:_The_Movie,N64,2000,Action,THQ,0.4,0.09,0,0.01,0.5
3979,Dance_Dance_Revolution_Universe_2,X360,2007,Simulation,Konami_Digital_Entertainment,0.46,0.01,0,0.04,0.5
3980,Star_Wars:_Jedi_Starfighter,PS2,2002,Simulation,Activision,0.24,0.19,0,0.06,0.5
3981,Tactics_Ogre:_The_Knight_of_Lodis,GBA,2001,Role-Playing,Nintendo,0.13,0.05,0.31,0.01,0.5
3982,Fortune_Street,Wii,2011,Misc,Nintendo,0.27,0.04,0.17,0.02,0.5
3983,Super_Robot_Taisen_MX,PS2,2004,Strategy,Banpresto,0,0,0.5,0,0.5
3984,Alice_in_Wonderland,DS,2010,Adventure,Disney_Interactive_Studios,0.27,0.18,0,0.05,0.5
3985,NBA_Street_Homecourt,X360,2007,Sports,Electronic_Arts,0.45,0.01,0,0.04,0.5
3986,Spider-Man_2,DS,2004,Action,Activision,0.41,0.02,0.03,0.04,0.5
3987,Bases_Loaded_'96:_Double_Header,PS,1995,Sports,Jaleco,0.28,0.19,0,0.03,0.5
3988,Dead_or_Alive_Ultimate,XB,2004,Fighting,Tecmo_Koei,0.3,0.1,0.08,0.02,0.5
3989,RPG_Maker,PS,1997,Role-Playing,ASCII_Entertainment,0.11,0.07,0.29,0.03,0.5
3990,FIFA_14,PSV,2013,Sports,Electronic_Arts,0.11,0.25,0.01,0.13,0.5
3991,Star_Wars:_Clone_Wars,PS2,2002,Shooter,LucasArts,0.24,0.19,0,0.06,0.5
3992,The_Saboteur,PS3,2009,Action,Electronic_Arts,0.2,0.22,0,0.08,0.5
3993,The_Adventures_of_Jimmy_Neutron_Boy_Genius:_Attack_of_the_Twonkies,PS2,2004,Action,THQ,0.24,0.19,0,0.06,0.5
3994,Metal_Gear_Rising:_Revengeance,X360,2013,Action,Konami_Digital_Entertainment,0.29,0.16,0,0.04,0.5
3995,Madden_NFL_11,PS2,2010,Sports,Electronic_Arts,0.41,0.02,0,0.07,0.5
3996,Major_League_Baseball_2K12,X360,2012,Sports,Take-Two_Interactive,0.47,0,0,0.03,0.5
3997,Alien:_Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.5
3998,The_Price_is_Right,DS,2008,Misc,Ubisoft,0.46,0,0,0.04,0.5
3999,Monster_Hunter,PS2,2004,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5
4000,Cars_2,X360,2011,Racing,Disney_Interactive_Studios,0.28,0.17,0,0.05,0.5
4001,Dreamworks_Madagascar_Kartz,Wii,2009,Racing,Activision,0.29,0.16,0,0.05,0.5
4002,Tony_Hawk's_Underground_2,GC,2004,Sports,Activision,0.38,0.1,0,0.01,0.5
4003,SplashDown:_Rides_Gone_Wild,PS2,2003,Racing,THQ,0.24,0.19,0,0.06,0.5
4004,Super_Famista_5,SNES,1996,Sports,Namco_Bandai_Games,0,0,0.5,0,0.5
4005,Dynasty_Warriors:_Gundam_2,PS3,2008,Action,Namco_Bandai_Games,0.09,0.07,0.32,0.03,0.5
4006,Shrek_SuperSlam,PS2,2005,Action,Activision,0.24,0.19,0,0.06,0.5
4007,Rayman_Advance,GBA,2001,Platform,Ubisoft,0.36,0.13,0,0.01,0.5
4008,Super_Robot_Taisen_Z,PS2,2008,Strategy,Namco_Bandai_Games,0,0,0.5,0,0.5
4009,PoPoLoCrois_Monogatari,PS,1996,Role-Playing,Sony_Computer_Entertainment,0,0,0.46,0.03,0.5
4010,Tomb_Raider:_Anniversary,PS2,2007,Action,Eidos_Interactive,0.41,0.02,0,0.07,0.5
4011,Fantastic_4,PS2,2005,Action,Activision,0.41,0.01,0,0.07,0.5
4012,Epic_Mickey_2:_The_Power_of_Two,PS3,2012,Action,Disney_Interactive_Studios,0.21,0.2,0,0.08,0.5
4013,Men_in_Black_II:_Alien_Escape,PS2,2002,Shooter,Infogrames,0.24,0.19,0,0.06,0.5
4014,The_Evil_Within,X360,2014,Action,Bethesda_Softworks,0.25,0.2,0.01,0.04,0.5
4015,RealSports_Tennis,2600,1982,Sports,Atari,0.46,0.03,0,0.01,0.5
4016,Nicktoons:_Attack_of_the_Toybots,PS2,2007,Platform,THQ,0.24,0.19,0,0.06,0.5
4017,Raiders_of_the_Lost_Ark,2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5
4018,Gauntlet,2600,1982,Action,Answer_Software,0.46,0.03,0,0.01,0.5
4019,Ridge_Racer_3D,3DS,2011,Racing,Namco_Bandai_Games,0.19,0.15,0.12,0.03,0.5
4020,Cars_Mater-National_Championship,Wii,2007,Racing,THQ,0.46,0,0,0.04,0.49
4021,Ace_Combat:_Assault_Horizon,X360,2011,Action,Namco_Bandai_Games,0.3,0.12,0.03,0.04,0.49
4022,Resident_Evil:_The_Mercenaries_3D,3DS,2011,Action,Capcom,0.16,0.17,0.13,0.03,0.49
4023,Super_Monkey_Ball_3D,3DS,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49
